,Step,Cell#,Current_value,Target_value,Change_value,Count,Total_change,check
0,3,68,7,8,1,1,1,False
1,4,43,3,6,3,1,3,False
2,20,33,7,5,-2,1,-2,False
3,22,6,7,3,-4,2,-8,False
4,33,23,9,4,-5,1,-5,False
5,36,5,9,2,-7,2,-14,False
8,57,62,1,4,3,1,3,False
10,66,39,3,1,-2,1,-2,False
11,68,26,6,8,2,4,8,False
12,85,67,1,2,1,1,1,False
13,92,40,7,0,-7,1,-7,False
14,94,89,1,5,4,1,4,False
16,106,4,1,8,7,3,21,False
17,111,72,9,8,-1,3,-3,False
18,119,98,9,5,-4,2,-8,False
19,128,66,3,2,-1,1,-1,False
20,130,94,3,4,1,3,3,False
21,135,8,7,6,-1,3,-3,False
26,172,60,3,5,2,2,4,False
27,193,9,9,0,-9,6,-54,False
30,237,80,1,0,-1,5,-5,False
31,254,14,6,0,-6,6,-36,False
32,267,1,3,0,-3,4,-12,False
35,489,23,8,0,-8,16,-128,False
36,540,11,5,0,-5,19,-95,False
37,597,63,2,0,-2,19,-38,False
38,600,62,4,0,-4,17,-68,False
0,48,74,6,2,-4,3,4,True
1,49,17,2,8,6,2,-18,True
2,58,82,9,3,-6,2,0,True
4,136,2,8,4,-4,5,-8,True
6,165,64,6,4,-2,4,-6,True
10,335,62,4,2,-2,2,2,True
